lag_spec,horizon,var_cov,var_b_cov,lp_cov,lp_b_cov,var_len,var_b_len,lp_len,lp_b_len
p=18,17,0.8829,0.8785,0.8633,0.8655,0.1379,0.1302,0.1445,0.1557
p=18,18,0.8840,0.8773,0.8594,0.8617,0.1427,0.1344,0.1497,0.1618
p=18,19,0.8835,0.8792,0.8629,0.8616,0.1461,0.1374,0.1552,0.1681
p=18,20,0.8847,0.8791,0.8598,0.8659,0.1484,0.1393,0.1604,0.1744
p=18,21,0.8870,0.8807,0.8599,0.8625,0.1505,0.1408,0.1655,0.1800
p=18,22,0.8873,0.8776,0.8586,0.8639,0.1519,0.1421,0.1704,0.1858
p=18,23,0.8858,0.8730,0.8573,0.8605,0.1530,0.1433,0.1752,0.1913
p=18,24,0.8855,0.8719,0.8543,0.8613,0.1542,0.1443,0.1797,0.1965
p=18,25,0.8844,0.8702,0.8523,0.8584,0.1556,0.1454,0.1840,0.2017
p=18,26,0.8821,0.8685,0.8502,0.8582,0.1571,0.1468,0.1883,0.2066
p=18,27,0.8811,0.8675,0.8505,0.8561,0.1589,0.1483,0.1924,0.2116
p=18,28,0.8794,0.8629,0.8502,0.8568,0.1607,0.1498,0.1966,0.2164
p=18,29,0.8773,0.8577,0.8523,0.8561,0.1627,0.1516,0.2006,0.2213
p=18,30,0.8757,0.8558,0.8492,0.8567,0.1646,0.1535,0.2045,0.2259
p=18,31,0.8740,0.8542,0.8484,0.8576,0.1668,0.1552,0.2086,0.2308
p=18,32,0.8737,0.8527,0.8480,0.8567,0.1690,0.1568,0.2125,0.2353
p=18,33,0.8762,0.8527,0.8455,0.8550,0.1713,0.1584,0.2164,0.2398
p=18,34,0.8746,0.8486,0.8443,0.8556,0.1730,0.1599,0.2202,0.2445
p=18,35,0.8693,0.8497,0.8415,0.8524,0.1747,0.1612,0.2241,0.2487
p=18,36,0.8673,0.8472,0.8410,0.8486,0.1762,0.1622,0.2278,0.2530
p=18,37,0.8664,0.8440,0.8384,0.8504,0.1772,0.1628,0.2312,0.2572
p=18,38,0.8647,0.8389,0.8381,0.8503,0.1778,0.1632,0.2344,0.2614
p=18,39,0.8648,0.8375,0.8398,0.8529,0.1783,0.1631,0.2376,0.2652
p=18,40,0.8633,0.8339,0.8379,0.8505,0.1786,0.1630,0.2407,0.2689
p=18,41,0.8626,0.8330,0.8395,0.8492,0.1789,0.1629,0.2436,0.2721
p=18,42,0.8601,0.8300,0.8368,0.8501,0.1790,0.1629,0.2464,0.2753
p=18,43,0.8606,0.8270,0.8368,0.8507,0.1790,0.1627,0.2490,0.2784
p=18,44,0.8601,0.8259,0.8360,0.8489,0.1787,0.1622,0.2514,0.2813
p=18,45,0.8588,0.8255,0.8339,0.8482,0.1787,0.1619,0.2537,0.2841
p=18,46,0.8570,0.8251,0.8323,0.8513,0.1784,0.1614,0.2560,0.2872
p=18,47,0.8591,0.8247,0.8340,0.8503,0.1781,0.1606,0.2582,0.2898
p=18,48,0.8583,0.8264,0.8321,0.8487,0.1776,0.1599,0.2602,0.2925
p=18,49,0.8565,0.8274,0.8333,0.8487,0.1769,0.1592,0.2623,0.2945
p=18,50,0.8580,0.8267,0.8323,0.8461,0.1761,0.1585,0.2643,0.2972
