lag_spec,horizon,var_cov,var_b_cov,lp_cov,lp_b_cov,var_len,var_b_len,lp_len,lp_b_len
AIC,17,0.8356,0.8180,0.8618,0.8751,0.1099,0.1045,0.1383,0.1457
AIC,18,0.8456,0.8311,0.8630,0.8755,0.1111,0.1055,0.1432,0.1511
AIC,19,0.8390,0.8259,0.8645,0.8750,0.1121,0.1064,0.1482,0.1565
AIC,20,0.7929,0.7596,0.8637,0.8767,0.1132,0.1071,0.1531,0.1617
AIC,21,0.7471,0.7041,0.8642,0.8772,0.1141,0.1079,0.1578,0.1667
AIC,22,0.7369,0.6915,0.8623,0.8765,0.1152,0.1088,0.1622,0.1715
AIC,23,0.7347,0.6874,0.8650,0.8763,0.1160,0.1095,0.1665,0.1761
AIC,24,0.7438,0.6993,0.8645,0.8746,0.1169,0.1100,0.1703,0.1803
AIC,25,0.7526,0.7085,0.8664,0.8751,0.1176,0.1106,0.1741,0.1845
AIC,26,0.7477,0.7015,0.8686,0.8755,0.1183,0.1111,0.1780,0.1887
AIC,27,0.7115,0.6540,0.8697,0.8786,0.1189,0.1113,0.1817,0.1929
AIC,28,0.6959,0.6371,0.8676,0.8766,0.1195,0.1117,0.1856,0.1970
AIC,29,0.6951,0.6395,0.8679,0.8771,0.1201,0.1120,0.1892,0.2010
AIC,30,0.7001,0.6461,0.8666,0.8755,0.1206,0.1122,0.1929,0.2051
AIC,31,0.6854,0.6292,0.8668,0.8763,0.1208,0.1123,0.1963,0.2090
AIC,32,0.6354,0.5667,0.8660,0.8759,0.1210,0.1123,0.1999,0.2127
AIC,33,0.6290,0.5606,0.8666,0.8771,0.1212,0.1122,0.2036,0.2170
AIC,34,0.6100,0.5416,0.8697,0.8798,0.1212,0.1120,0.2072,0.2210
AIC,35,0.6038,0.5315,0.8691,0.8797,0.1211,0.1118,0.2107,0.2246
AIC,36,0.5820,0.5070,0.8690,0.8794,0.1209,0.1113,0.2141,0.2282
AIC,37,0.5686,0.4896,0.8670,0.8779,0.1206,0.1109,0.2174,0.2321
AIC,38,0.5593,0.4810,0.8683,0.8787,0.1202,0.1103,0.2205,0.2356
AIC,39,0.5791,0.5029,0.8669,0.8798,0.1198,0.1096,0.2234,0.2389
AIC,40,0.5986,0.5224,0.8685,0.8800,0.1192,0.1089,0.2263,0.2420
AIC,41,0.5976,0.5195,0.8701,0.8814,0.1186,0.1082,0.2292,0.2451
AIC,42,0.5813,0.5010,0.8727,0.8836,0.1180,0.1075,0.2319,0.2482
AIC,43,0.5802,0.5000,0.8733,0.8833,0.1174,0.1067,0.2344,0.2508
AIC,44,0.5848,0.5038,0.8742,0.8841,0.1168,0.1061,0.2369,0.2536
AIC,45,0.5779,0.4965,0.8740,0.8853,0.1159,0.1053,0.2390,0.2560
AIC,46,0.5675,0.4854,0.8759,0.8858,0.1153,0.1045,0.2413,0.2586
AIC,47,0.5681,0.4847,0.8791,0.8864,0.1145,0.1036,0.2434,0.2609
AIC,48,0.5702,0.4878,0.8808,0.8882,0.1138,0.1028,0.2454,0.2625
AIC,49,0.5670,0.4850,0.8808,0.8885,0.1131,0.1020,0.2471,0.2651
AIC,50,0.5752,0.4990,0.8820,0.8915,0.1122,0.1012,0.2487,0.2673
