oil_proxy,rpoil,woprod,woinv,wip,usip,uscpi
7.575744377358138e-12,-0.19146070206858212,-15.38542463163526,-123.41172668788909,-51.155625361128784,-44.80663358614396,-109.12136497689767
7.575744377358138e-12,-1.254169959497176,-14.543537361070776,-119.58959241666423,-51.606354355562814,-45.11469672223109,-108.05865571946907
7.575744377358138e-12,-2.3057043594495212,-13.774289101179647,-119.90085126712711,-51.67057193603375,-45.093618698334865,-107.00712131951673
7.575744377358138e-12,-2.93135812088002,-12.478945615786643,-116.80607400653935,-51.64467499228641,-45.39915189700929,-106.38146755808617
7.575744377358138e-12,-3.9654935003533183,-12.183462443520284,-113.27313672717753,-51.150685057222006,-44.64437353363894,-105.34733217861293
7.575744377358138e-12,-4.7851702207711355,-12.921175734226154,-111.6448382714608,-51.44535420022868,-44.76227757003005,-104.52765545819511
7.575744377358138e-12,-5.3955485145729085,-14.862225638813925,-109.7777975905176,-52.36836805275186,-44.71709286884328,-103.91727716439334
7.575744377358138e-12,-6.605240685455783,-17.520763016052115,-108.89313820857956,-52.51611264497552,-45.70240860783463,-102.70758499351047
7.575744377358138e-12,-7.998298039050496,-16.533059944171782,-108.84396435817041,-53.67784478311842,-45.642668315728656,-101.31452763991575
7.575744377358138e-12,1.095388709937481,-16.219916789528725,-109.83111172613076,-54.71524028924733,-46.028933555708306,-100.5271219968252
7.575744377358138e-12,0.11977121540098778,-16.083678223847073,-109.86908255476408,-56.659808481748996,-49.37152841079319,-99.55150450228871
7.575744377358138e-12,-0.6539270348142736,-16.980806884068897,-109.37827973003652,-59.57690843006503,-52.95861654132892,-98.77780625207345
7.575744377358138e-12,-1.4216851247176692,-21.048049093937834,-108.58303346922582,-60.789098601062676,-54.34028383375687,-98.01004816217005
7.575744377358138e-12,-1.993659991996367,-22.997488646113652,-105.62569341567473,-61.82319330657748,-56.689936608555854,-97.43807329489135
7.575744377358138e-12,-2.373167088851517,-23.157124243703038,-106.55317127070111,-62.611319386365665,-57.75680502355124,-97.05856619803615
7.575744377358138e-12,-2.7512393728421216,-23.90024405893564,-107.32378767553837,-62.57114918715831,-57.6611667029735,-96.68049391404554
7.575744377358138e-12,-2.939740842419269,-23.44003194115021,-108.67536825627678,-63.22706706288392,-57.88640073214901,-96.49199244446845
7.575744377358138e-12,-3.690213407826036,-20.94318231279408,-108.79744016507675,-62.44434167143817,-57.231441845613745,-95.74151987906168
7.575744377358138e-12,-4.62045267405739,-18.34548708262423,-111.60685554132613,-62.332088165041284,-56.27864018441227,-94.81128061283033
7.575744377358138e-12,-4.990138862190008,-16.212646045182964,-112.05151439542226,-61.8946997021319,-55.23629673367873,-94.44159442469771
7.575744377358138e-12,-5.725436292715926,-13.127163535826867,-111.67014675461098,-60.92779096477534,-53.999472691173196,-93.70629699417185
7.575744377358138e-12,-6.27338286917842,-23.034454705855524,-109.87070411592322,-59.921543174085855,-53.55759155387551,-93.1583504177093
7.575744377358138e-12,-6.999338870458871,-19.586067973448507,-109.99420995843809,-59.43586584718372,-53.337727827049775,-92.43239441642885
7.575744377358138e-12,-7.540368143283615,-18.23414089586163,-107.06788449717965,-58.675137898795356,-52.10095868384258,-91.8913651436041
7.575744377358138e-12,-7.899434956356458,-19.69704846920331,-101.95597450557182,-57.558437923382655,-50.65803688394982,-91.53229833053126
7.575744377358138e-12,-0.5717287303930334,-17.03760372695865,-105.30401717753762,-56.474288304150946,-49.68709349586419,-91.35324725315246
7.575744377358138e-12,-0.17026752619182162,-14.572141991640365,-105.70286501613361,-56.16151440653465,-49.572146345525084,-91.1745161957428
7.575744377358138e-12,0.22816573413206243,-16.416426978496247,-105.62196418531028,-55.01703848818977,-49.00093378286465,-90.99610401639268
7.575744377358138e-12,-0.3051688634041625,-15.989328323898917,-107.06503528991595,-54.045011207890525,-48.56005316432618,-90.46276941885645
7.575744377358138e-12,-0.8356740863735013,-12.75949989414471,-106.73931128465313,-54.06246122402007,-48.535371872399764,-89.93226419588711
7.575744377358138e-12,-1.3633797964578775,-12.159023662544541,-104.86680784627038,-53.57642440138096,-47.95316505434482,-89.40455848580274
