DATES,LIP,UNEMP,LCPI,FFR,LPCOM,LRCDUR,LRCND,LRCSV,RRSHOCK,CUMRRSHOCK,CUMRRSHOCKORIG,BCSHOCK,CUMBCSHOCK,MP1_TC,FF4_TC,ED2_TC,ED3_TC,ED4_TC,GS1,EBP,szshock,rrshock83,cumrrshock83,rrshock83b,mp1_vr,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,wu_xia,lm1,lm2,ltr,lnbr,factor1,factor2,factor3,factor4,factor5
1961.916667,3.247781987,6,3.401530659,2.33,4.601162165,2.144292514,3.438717932,2.973077583,,,,,,,,,,,3.18,,,,,,,,,,,,,2.5,4.978112102,5.815621956,2.848797165,2.430626443,-0.520011344,-0.405580919,-0.142718805,0.040641982,-0.110854952
1962,3.239094052,5.8,3.402529827,2.15,4.608962984,2.141006897,3.439263582,2.974253242,,,,,,,,,,,3.28,,,,,,,,,,,,,1.5,4.978112102,5.82156551,2.844444159,2.433876479,-0.314695714,-0.271921725,0.016555273,-0.092840793,-0.016136879
1962.083333,3.255319609,5.5,3.404857342,2.37,4.587515251,2.136412438,3.436564525,2.976804264,,,,,,,,,,,3.28,,,,,,,,,,,,,2.75,4.981549713,5.829239692,2.828319033,2.418855875,0.100357413,-0.076134829,-0.023309461,-0.263361143,0.426674224
1962.166667,3.260673983,5.6,3.406848053,2.85,4.591882292,2.151645917,3.447412805,2.981075384,,,,,,,,,,,3.06,,,,,,,,,,,,,2.75,4.983606622,5.83802195,2.830326829,2.413231613,-0.556944233,-0.184144881,-0.083829526,0.082014952,-0.045449071
1962.25,3.262804668,5.6,3.408172995,2.78,4.578826211,2.158021642,3.445246164,2.988204007,,,,,,,,,,,2.99,,,,,,,,,,,,,2.5,4.986342602,5.844992643,2.836560677,2.421078987,-0.199853829,-0.142300881,-0.186835359,-0.063100247,0.013904602
1962.333333,3.261739893,5.5,3.409165551,2.36,4.568298711,2.180982271,3.450019291,2.993730271,,,,,,,,,,,3.03,,,,,,,,,,,,,2.75,4.989071116,5.850764665,2.841939863,2.426836055,-0.285983974,-0.16662783,-0.202577523,-0.073301084,0.046631011
1962.416667,3.259603095,5.5,3.408172995,2.68,4.553350437,2.169282246,3.439969276,2.994631668,,,,,,,,,,,3.03,,,,,,,,,,,,,2.75,4.987707789,5.855931152,2.845141915,2.418232517,0.125643835,-0.099855799,-0.092857875,-0.24201476,-0.07242656
1962.5,3.269173424,5.4,3.408503957,2.71,4.546693256,2.168939408,3.445756385,2.996931554,,,,,,,,,,,3.29,,,,,,,,,,,,,2.75,4.987025428,5.86021626,2.848217858,2.424979701,0.167231479,-0.120120955,-0.077980259,-0.34824217,0.106892023
1962.583333,3.270230317,5.7,3.410487429,2.93,4.548599834,2.165504552,3.450558811,2.999923478,,,,,,,,,,,3.2,,,,,,,,,,,,,3,4.987707789,5.865901324,2.84129822,2.418677812,-0.111753428,-0.27787433,-0.045833008,-0.112973634,-0.250290721
1962.666667,3.276552105,5.6,3.415100287,2.9,4.547329186,2.19555652,3.462104317,3.005435049,,,,,,,,,,,3.06,,,,,,,,,,,,,2.75,4.985659308,5.87183606,2.84700022,2.425068177,0.094135017,-0.027165651,-0.138517832,-0.057621518,0.079266699
1962.75,3.277605004,5.4,3.413784497,2.9,4.551347379,2.169853381,3.454042804,3.00889526,,,,,,,,,,,2.98,,,,,,,,,,,,,3,4.988389685,5.878295849,2.854859715,2.432472354,-0.147728026,0.073820954,0.027793506,0.080415911,-0.075747696
1962.833333,3.281790528,5.7,3.413784497,2.94,4.554403069,2.2300144,3.459120318,3.01499554,,,,,,,,,,,3,,,,,,,,,,,,,2.88,4.992471323,5.885548322,2.815528473,2.431154194,0.139915604,-0.229382568,-0.222160428,-0.205975689,0.016947662
1962.916667,3.281790528,5.5,3.413784497,2.93,4.549446037,2.257587727,3.462104317,3.01597598,,,,,,,,,,,3.01,,,,,,,,,,,,,3,4.995860009,5.893576046,2.828319033,2.42868897,0.008199287,-0.168439144,-0.153096783,-0.078158221,-0.066626554
1963,3.289080762,5.7,3.415757533,2.92,4.555769836,2.250449339,3.465454613,3.014455888,,,,,,,,,,,3.04,,,,,,,,,,,,,3,4.999237249,5.900445149,2.829500578,2.435453766,0.091635926,-0.195613326,-0.163217314,-0.178804364,0.006573325
1963.083333,3.300426318,5.9,3.417070731,3,4.555979942,2.235804059,3.458365055,3.016563783,,,,,,,,,,,3.01,,,,,,,,,,,,,3,5.00327494,5.907811162,2.816127024,2.423917378,-0.085442994,-0.115257269,-0.100566667,-0.0825149,-0.157938576
1963.166667,3.306560642,5.7,3.418054499,2.98,4.544358047,2.232377198,3.467796279,3.020766291,,,,,,,,,,,3.03,,,,,,,,,,,,,3,5.005287688,5.91539311,2.815468598,2.420812474,-0.168140555,-0.167439567,-0.103055352,-0.082020458,-0.131870165
1963.25,3.315693958,5.7,3.417070731,2.9,4.554297856,2.249606168,3.464797963,3.025727874,,,,,,,,,,,3.11,,,,,,,,,,,,,3,5.008633291,5.922382386,2.81516917,2.42648273,-0.151292755,-0.207252714,-0.170332182,-0.1503819,-0.014176064
1963.333333,3.327740992,5.9,3.418054499,3,4.576256176,2.253394849,3.465204512,3.025776395,,,,,,,,,,,3.12,,,,,,,,,,,,,3,5.013298412,5.929855065,2.818995095,2.41734133,-0.372408564,-0.209222649,-0.244630675,-0.083988538,0.034452122
1963.416667,3.330731998,5.6,3.421326753,2.99,4.55860255,2.279214107,3.471842221,3.032979888,,,,,,,,,,,3.2,,,,,,,,,,,,,3,5.013298412,5.935951837,2.822865876,2.410452464,-0.13440827,-0.124120388,-0.057997911,-0.066093839,-0.059397429
1963.5,3.326743196,5.6,3.423936869,3.02,4.56100929,2.288688988,3.473300965,3.039749159,,,,,,,,,,,3.48,,,,,,,,,,,,,3.5,5.019264621,5.943061808,2.830385821,2.418766847,-0.129194071,0.007631795,-0.025181088,-0.108035044,0.037488425
1963.583333,3.328737794,5.4,3.425889994,3.49,4.548070594,2.263636343,3.483176674,3.046758032,,,,,,,,,,,3.53,,,,,,,,,,,,,3.5,5.022563865,5.949600343,2.817203515,2.411887828,-0.050746164,-0.035613035,-0.083910595,-0.174620981,0.157820808
1963.666667,3.338658637,5.5,3.424913908,3.48,4.551769409,2.266854283,3.472649449,3.050173109,,,,,,,,,,,3.57,,,,,,,,,,,,,3.5,5.023880521,5.955837369,2.826544095,2.414484185,-0.124509529,-0.071031197,-0.151808358,-0.153433068,-0.040134833
1963.75,3.345547242,5.5,3.425889994,3.5,4.582720057,2.259259968,3.468357464,3.054519915,,,,,,,,,,,3.64,,,,,,,,,,,,,3.5,5.027820119,5.961778237,2.829087196,2.410272898,-0.254100757,-0.232420478,-0.180866482,-0.147856064,-0.061914283
1963.833333,3.350437278,5.7,3.426865128,3.48,4.583435694,2.287065281,3.473114861,3.05804958,,,,,,,,,,,3.74,,,,,,,,,,,,,3.5,5.034351821,5.969985515,2.83538745,2.415735191,-0.352160223,-0.064173759,-0.170408833,-0.083106419,0.015062225
1963.916667,3.348482024,5.5,3.430108725,3.38,4.573885896,2.319147181,3.48385206,3.064745145,,,,,,,,,,,3.81,,,,,,,,,,,,,3.25,5.032396786,5.974318388,2.847870113,2.433350163,-0.019972943,-0.088121609,-0.095836289,-0.151606169,0.002728948
