POIL,CPI,OILPROD,OILSTOCKS,WORLDIP,IP
3.35,38.5,NaN,NaN,36.25293,39.0702
3.35,38.6,NaN,NaN,36.27987,39.0247
3.35,38.8,NaN,NaN,36.23929,38.8985
3.31,38.9,NaN,NaN,36.47684,38.994
3.31,39,NaN,NaN,36.28714,38.9245
3.31,39.2,NaN,NaN,36.25481,38.6561
3.31,39.4,NaN,NaN,36.11934,37.8829
3.31,39.6,NaN,NaN,35.99727,37.6534
3.56,39.8,NaN,NaN,36.52303,38.5182
3.56,39.9,NaN,NaN,36.79753,38.8144
3.56,39.9,NaN,NaN,36.52873,38.7405
3.56,40,NaN,NaN,36.49504,38.6985
3.56,40.1,NaN,NaN,36.66487,38.9158
3.56,40.3,NaN,NaN,36.62868,39.1133
3.56,40.5,NaN,NaN,36.94273,39.2773
3.56,40.6,NaN,NaN,37.04726,39.1633
3.56,40.7,NaN,NaN,36.90718,38.936
3.56,40.8,NaN,NaN,37.31253,39.5688
3.56,40.9,NaN,NaN,37.45821,39.865
3.56,41,NaN,NaN,37.52595,40.0342
3.56,41.1,NaN,NaN,37.6244,40.4964
3.56,41.2,NaN,NaN,38.13882,41.4709
3.56,41.4,NaN,NaN,37.96317,41.8616
3.56,41.4,NaN,NaN,38.58595,42.1645
3.56,41.5,NaN,NaN,39.15302,42.6064
3.56,41.6,NaN,NaN,39.1733,42.582
3.56,41.7,NaN,NaN,39.35468,42.7051
3.56,41.8,NaN,NaN,39.32761,42.6924
3.56,41.9,NaN,NaN,39.79465,43.2568
3.56,42.1,NaN,NaN,40.07854,43.5838
3.56,42.2,NaN,NaN,40.67321,44.1699
3.56,42.4,NaN,NaN,41.0521,44.6846
3.56,42.5,NaN,NaN,41.9899,45.2006
3.56,42.7,NaN,NaN,41.88071,45.498
3.56,43,54930,540.7424247,42.30797,46.1773
3.56,43.4,54995,550.709371,42.56412,46.1937
3.56,43.7,55049,552.0975251,42.56604,46.1272
3.56,43.9,56323,562.851911,43.08679,46.4199
3.56,44.2,55711,554.1339733,43.23591,46.4535
3.56,44.2,57420,553.6666169,43.18711,46.648
4.31,45,56750,577.4003335,43.61835,46.5669
4.31,45.2,57744,557.1311158,43.74808,46.9866
4.31,45.6,56614,557.6550677,43.92751,47.2997
4.31,45.9,53866,562.5737829,44.10468,47.548
4.31,46.3,54277,560.8507671,44.02957,47.4375
10.11,46.8,55474,532.4517158,44.12575,47.1083
10.11,47.3,55943,553.1966597,43.92731,46.9634
10.11,47.8,56375,551.4774631,43.89911,46.9733
10.11,48.1,57110,568.8113006,43.91048,46.83
10.11,48.6,57279,589.2662498,44.12793,47.1848
10.11,49,56858,598.9398065,43.99809,47.1292
10.11,49.3,55765,610.2272995,43.59385,47.1505
10.11,49.9,54302,615.649682,43.52949,46.6882
10.11,50.6,54841,615.9524951,43.02672,46.7161
11.16,51,55013,609.9020488,42.58267,46.536
11.16,51.5,55088,609.6705079,41.76262,45.0062
11.16,51.9,54596,612.6701431,40.56196,43.4204
11.16,52.3,52420,617.5618041,40.07324,42.8246
11.16,52.6,51408,636.0979441,39.66098,41.8301
11.16,52.8,51326,630.2255512,39.34963,41.3862
11.16,53,50946,625.3875947,39.36544,41.4258
11.16,53.1,51181,616.9918429,39.10808,41.3326
11.16,53.5,52475,616.2391287,39.41539,41.6042
11.16,54,53856,599.1673434,39.45966,42.0025
11.16,54.2,55017,596.5090074,39.63263,42.4426
11.16,54.6,56741,598.7882431,40.0177,42.9708
11.16,54.9,51389,609.6606218,40.42241,43.1611
11.16,55.3,53192,608.9081201,40.61921,43.2561
11.16,55.6,53916,626.9900309,40.92939,43.7944
11.16,55.8,53133,659.8745497,41.38901,44.4309
12.03,55.9,54565,638.1474146,41.84017,44.8644
12.1,56,55927,635.6072465,41.97124,44.916
12.17,56.1,54905,636.1216661,42.45435,45.1733
12.17,56.4,55140,627.0078954,42.86903,45.3729
12.17,56.7,56950,629.0535404,42.86155,45.3841
12.17,57,57293,640.9435627,43.07038,45.6491
12.17,57.3,57699,643.793823,43.10961,45.9698
13.9,57.6,58596,656.1034053,43.54618,46.1015
13.9,57.9,60391,672.1341783,43.59222,46.1172
13.9,58.1,60955,671.726969,44.03595,46.7939
13.9,58.4,62462,659.2381736,44.20273,47.2798
13.9,58.7,56833,669.8820814,44.39975,47.023
13.9,59.3,60649,670.1176804,44.43105,47.7335
13.9,59.6,61144,671.5626242,44.68892,48.3415
13.9,60,60186,708.1461746,44.66613,48.7789
13.9,60.2,58262,729.75786,44.81815,49.2046
13.9,60.5,59158,746.4504369,44.83628,49.5627
13.9,60.8,58028,760.4909548,44.60905,49.6389
14.85,61.1,58854,784.5413647,44.89521,49.6517
14.85,61.3,60089,770.1838431,45.0286,49.8872
14.85,61.6,59961,773.7822559,44.99986,49.9859
14.85,62,61113,787.7221548,45.01122,50.0357
14.85,62.3,62350,803.7874833,45.37497,50.1135
14.85,62.7,56705,801.4808246,45.28913,49.4201
14.85,63,58208,804.5498619,45.13367,49.6618
14.85,63.4,58717,815.4513821,45.48467,50.6053
14.85,63.9,59610,811.9138321,46.52699,51.6639
14.85,64.5,58596,789.9736005,46.19706,51.8472
14.85,65,59981,813.9637186,46.45106,52.2056
14.85,65.5,59555,835.7061089,46.60526,52.1834
14.85,65.9,60357,824.5125183,46.90024,52.3807
14.85,66.5,62477,849.0071636,47.25621,52.5124
14.85,67.1,62906,852.5958007,47.41009,52.9384
14.85,67.5,63054,858.8972055,47.7097,53.3363
14.85,67.9,61691,869.6917668,48.44259,53.6296
14.85,68.5,60148,851.8457946,47.5531,53.2837
15.85,69.2,60473,871.497619,48.01445,53.5675
15.85,69.9,61633,895.7699492,48.24409,53.7364
15.85,70.6,62870,897.4372146,48.3018,53.1571
18.1,71.4,62667,899.7766679,48.65648,53.5566
19.1,72.2,62919,930.4547575,48.85663,53.5534
21.75,73,63552,915.2001174,48.96999,53.4808
26.5,73.7,63425,944.5382438,49.1261,53.1195
28.5,74.4,63183,956.9304849,49.02059,53.1786
29,75.2,63629,984.108568,49.24184,53.4617
31,76,63954,989.4656332,49.47119,53.409
32.5,76.9,63490,993.9003204,49.64069,53.4536
32.5,78,62348.01,1017.284905,49.81555,53.7071
37,79,62715.75,1042.429718,49.9913,53.7262
38,80.1,61647.49,1030.938383,50.01566,53.5481
39.5,80.9,60391.36,1050.963572,49.37711,52.4571
39.5,81.7,59778.78,1061.384477,48.7445,51.1904
39.5,82.5,60008.62,1062.943621,48.58969,50.5575
39.5,82.6,59608.9,1068.374892,48.33154,50.166
38,83.2,59446.01,1091.166202,48.28743,50.353
36,83.9,58297.8,1082.372965,48.2429,51.1727
36,84.7,55842.49,1073.321021,48.52185,51.8129
36,85.6,56668.93,1074.90085,48.96902,52.7175
37,86.4,58047.97,1073.496058,48.98382,53.0142
38,87.2,57891.77,1100.569949,48.84544,52.7119
38,88,58156.65,1121.001268,49.08242,52.4633
38,88.6,58809.34,1158.998702,48.90804,52.7501
38,89.1,57803.81,1189.480185,48.84839,52.5233
38,89.7,56994.19,1218.306948,48.88957,52.8211
36,90.5,56310.52,1235.181524,49.10569,53.0699
36,91.5,55016.13,1270.745845,49.41044,53.4044
36,92.2,54079.56,1242.753845,49.12795,53.3959
36,93.1,54190.51,1280.679762,49.28484,53.0761
35,93.4,54556.34,1308.680888,49.30048,52.6972
36,93.8,53982.61,1331.934723,49.08788,52.0996
35,94.1,54949.16,1363.304613,48.72423,51.5219
33.85,94.4,54696.33,1369.039054,48.50826,50.4933
31.56,94.7,54057.65,1386.436619,48.70739,51.4979
28.48,94.7,52235.57,1379.223463,48.73837,51.1159
33.45,95,50937.23,1369.387798,48.59574,50.6623
35.93,95.9,51782.8,1367.560161,48.33593,50.3505
35.07,97,53723.82,1373.223128,48.06202,50.1943
34.16,97.5,53304.04,1392.044737,47.848,50.0395
33.95,97.7,53226.07,1422.274308,47.62295,49.6075
35.63,97.7,53081.15,1425.583838,47.73643,49.4584
35.68,98.1,54797.28,1438.827881,47.0841,49.011
34.15,98,55385.98,1466.401396,47.00177,48.8232
31.72,97.7,54251.55,1470.023785,46.8316,48.4682
31.19,97.9,52769.43,1489.441339,47.39715,49.3992
28.95,98,49818.35,1512.116568,47.12232,49.089
28.82,98.1,50742.38,1513.728778,47.46125,49.4906
30.61,98.8,50965.38,1528.018988,47.79528,50.0805
30,99.2,52665.43,1527.447691,47.95616,50.4295
31,99.4,52875.44,1544.048767,48.25271,50.7333
31.66,99.8,54658.48,1532.047482,48.3844,51.5016
31.91,100.1,54505.48,1591.077129,48.8524,52.0679
31.11,100.4,55159.5,1626.798167,49.35585,52.8472
30.41,100.8,54898.49,1622.523775,49.54048,53.2874
29.84,101.1,55266.5,1613.602326,49.89092,53.4759
29.24,101.4,54461.48,1644.80026,50.2986,53.7593
29.69,102.1,54576.64,1652.986702,50.7394,54.8216
30.145,102.6,54927.7,1644.183544,51.00476,55.0698
30.761,102.9,54649.65,1654.631152,50.91965,55.3384
30.618,103.3,54848.69,1675.088048,50.99887,55.6911
30.52,103.5,54467.61,1721.102577,51.62151,55.9506
29.967,103.7,55744.86,1732.785189,51.33083,56.1549
28.752,104.1,55024.72,1748.497297,51.91214,56.3326
29.25,104.4,53346.39,1737.465037,52.30018,56.3847
29.311,104.7,53805.48,1733.010252,52.22195,56.2832
28.765,105.1,54216.57,1765.578885,52.348,56.1943
28.098,105.3,54233.57,1781.148949,52.42436,56.4108
25.429,105.5,54193.56,1806.745458,52.71935,56.4759
25.641,105.7,52957.86,1789.73892,52.84401,56.3801
27.271,106.3,54427.46,1768.533816,53.0092,56.5796
28.238,106.8,54646.41,1798.449001,53.28333,56.6645
28.805,107,54220.52,1823.866576,53.09844,56.5122
27.623,107.2,52783.91,1871.340309,53.58389,56.5982
27.143,107.5,51325.29,1854.858749,53.54256,56.6317
27.329,107.7,52354.02,1834.456978,53.59588,56.2637
27.755,107.9,52217.05,1833.376577,53.68348,56.496
28.289,108.1,54096.55,1843.600568,53.77346,56.7412
29.538,108.5,55780.11,1816.977772,53.88151,56.508
30.813,109,56257.98,1838.203158,54.19878,56.6984
27.228,109.5,56572.89,1848.487171,54.09607,57.2954
22.945,109.9,55524.88,1865.353429,54.40969,57.5555
15.442,109.7,55534.87,1873.41757,54.23668,57.1707
12.618,109.1,55038.12,1903.273943,54.14936,56.7784
12.847,108.7,55142.07,1892.133637,54.47375,56.8228
15.444,109,56320.47,1872.333544,54.13272,56.938
13.469,109.4,57091.08,1872.485051,54.4163,56.7427
11.575,109.5,58227.51,1913.182016,54.71213,57.0569
15.092,109.6,58880.18,1905.825864,54.4311,56.9807
14.913,110,54854.21,1926.582446,54.88353,57.0954
14.852,110.2,55210.04,1923.034441,55.02226,57.3542
15.207,110.4,56137.56,1920.003957,54.99626,57.623
16.076,110.8,56307.48,1915.457418,55.36692,58.1006
18.656,111.4,55612.02,1918.17609,54.7378,57.9173
17.726,111.8,54915.71,1923.036198,55.975,58.663
18.305,112.2,54174.38,1933.760449,55.8449,58.7602
18.643,112.7,54847.68,1924.135207,56.16184,59.1416
19.415,113,55652.04,1920.119313,56.4049,59.517
20.034,113.5,55352.91,1933.596882,56.56957,59.7996
21.355,113.8,57916.06,1932.305177,56.70404,60.2152
20.274,114.3,58713.42,1964.020783,56.92057,60.7146
19.526,114.7,58106.15,1988.111188,57.32174,60.8781
19.848,115,58301.23,2011.703421,58.01603,61.7569
18.92,115.4,57839.03,2041.851747,58.33344,62.091
17.241,115.6,57913.06,2026.374735,58.50161,62.394
17.16,116,57132.79,2024.195797,58.99343,62.4207
16.765,116.2,57212.83,2020.992611,59.25194,62.6908
16.217,116.5,57574.01,2014.95479,59.39683,62.8421
17.875,117.2,57885.17,2011.097183,59.49458,63.1885
